TIME,lat,lon,alt,eph,epv,vel,vn,ve,vd,cog,satellites_visible,id,yaw
1702378470556450,476414680,-1221401650,130515,10,10,2,0,2,1,11506,15,0,0
1702378470577450,476414680,-1221401649,130515,10,10,2,-1,2,1,11624,15,0,0
1702378470598450,476414680,-1221401649,130515,10,10,2,-1,2,1,11741,15,0,0
1702378470619451,476414680,-1221401649,130515,10,10,2,-1,1,1,11857,15,0,0
1702378470640451,476414680,-1221401649,130515,10,10,2,-1,1,1,11972,15,0,0
1702378470661452,476414680,-1221401649,130514,10,10,2,-1,1,1,12085,15,0,0
1702378470682452,476414680,-1221401649,130514,10,10,2,-1,1,1,12197,15,0,0
1702378470703453,476414680,-1221401649,130514,10,10,2,-1,1,1,12308,15,0,0
1702378470724453,476414680,-1221401649,130514,10,10,2,-1,1,1,12420,15,0,0
1702378470745454,476414680,-1221401649,130514,10,10,2,-1,1,1,12535,15,0,0
1702378470766454,476414680,-1221401649,130513,10,10,2,-1,1,0,12653,15,0,0
1702378470787454,476414680,-1221401649,130513,10,10,2,-1,1,0,12775,15,0,0
1702378470808455,476414680,-1221401649,130513,10,10,2,-1,1,0,12901,15,0,0
1702378470829455,476414680,-1221401649,130513,10,10,2,-1,1,0,13031,15,0,0
1702378470850456,476414680,-1221401649,130513,10,10,2,-1,1,0,13161,15,0,0
1702378470871456,476414680,-1221401649,130512,10,10,2,-1,1,0,13294,15,0,0
1702378470892457,476414680,-1221401649,130512,10,10,2,-1,1,0,13430,15,0,0
1702378470913457,476414680,-1221401649,130512,10,10,2,-1,1,0,13568,15,0,0
1702378470934458,476414680,-1221401649,130512,10,10,2,-1,1,0,13709,15,0,0
1702378470955458,476414680,-1221401649,130512,10,10,2,-1,1,0,13854,15,0,0
1702378470976459,476414680,-1221401649,130511,10,10,2,-1,1,0,14002,15,0,0
1702378470997459,476414680,-1221401648,130511,10,10,2,-1,1,0,14151,15,0,0
1702378471018459,476414680,-1221401648,130511,10,10,2,-1,1,0,14300,15,0,0
1702378471039460,476414680,-1221401648,130511,10,10,2,-1,1,0,14449,15,0,0
1702378471060460,476414680,-1221401648,130511,10,10,2,-1,1,0,14594,15,0,0
1702378471081461,476414680,-1221401648,130510,10,10,2,-1,1,0,14736,15,0,0
1702378471102461,476414680,-1221401648,130510,10,10,2,-2,1,0,14873,15,0,0
1702378471123462,476414680,-1221401648,130510,10,10,2,-2,1,0,15006,15,0,0
1702378471144462,476414680,-1221401648,130510,10,10,2,-2,1,0,15134,15,0,0
1702378471165463,476414679,-1221401648,130510,10,10,2,-2,1,0,15258,15,0,0
1702378471186463,476414679,-1221401648,130510,10,10,2,-2,1,0,15379,15,0,0
1702378471207463,476414679,-1221401648,130509,10,10,2,-2,1,0,15495,15,0,0
1702378471228464,476414679,-1221401648,130509,10,10,2,-2,1,0,15608,15,0,0
1702378471249464,476414679,-1221401648,130509,10,10,2,-2,0,0,15718,15,0,0
1702378471270465,476414679,-1221401648,130509,10,10,2,-2,0,0,15824,15,0,0
1702378471291465,476414679,-1221401648,130509,10,10,2,-2,0,0,15928,15,0,0
1702378471312466,476414679,-1221401648,130509,10,10,2,-2,0,0,16029,15,0,0
1702378471333466,476414679,-1221401648,130509,10,10,2,-2,0,0,16129,15,0,0
1702378471354467,476414679,-1221401648,130508,10,10,2,-2,0,0,16231,15,0,0
1702378471375467,476414679,-1221401648,130508,10,10,2,-2,0,0,16334,15,0,0
1702378471396467,476414679,-1221401648,130508,10,10,2,-2,0,0,16437,15,0,0
1702378471417468,476414679,-1221401648,130508,10,10,2,-2,0,0,16541,15,0,0
1702378471438468,476414679,-1221401648,130508,10,10,2,-2,0,0,16644,15,0,0
1702378471459469,476414679,-1221401648,130508,10,10,2,-2,0,0,16746,15,0,0
1702378471480469,476414679,-1221401648,130508,10,10,2,-2,0,0,16847,15,0,0
1702378471501470,476414679,-1221401648,130508,10,10,2,-2,0,0,16946,15,0,0
1702378471522470,476414679,-1221401648,130507,10,10,2,-2,0,0,17042,15,0,0
1702378471543471,476414679,-1221401648,130507,10,10,2,-2,0,0,17135,15,0,0
1702378471564471,476414679,-1221401648,130507,10,10,2,-2,0,0,17224,15,0,0
1702378471585472,476414679,-1221401648,130507,10,10,2,-2,0,0,17311,15,0,0
1702378471606472,476414679,-1221401648,130507,10,10,2,-2,0,0,17397,15,0,0
1702378471627472,476414678,-1221401648,130507,10,10,2,-2,0,0,17481,15,0,0
1702378471648473,476414678,-1221401648,130507,10,10,2,-2,0,0,17563,15,0,0
1702378471669473,476414678,-1221401648,130507,10,10,2,-2,0,0,17643,15,0,0
1702378471690474,476414678,-1221401648,130507,10,10,2,-2,0,0,17723,15,0,0
1702378471711474,476414678,-1221401648,130506,10,10,2,-2,0,0,17802,15,0,0
1702378471732475,476414678,-1221401648,130506,10,10,2,-2,0,0,17880,15,0,0
1702378471753475,476414678,-1221401648,130506,10,10,2,-2,0,0,17956,15,0,0
1702378471774476,476414678,-1221401648,130506,10,10,2,-2,0,0,18030,15,0,0
1702378471795476,476414678,-1221401648,130506,10,10,2,-2,0,0,18101,15,0,0
1702378471816476,476414678,-1221401648,130506,10,10,2,-2,0,0,18171,15,0,0
1702378471837477,476414678,-1221401648,130506,10,10,2,-2,0,0,18239,15,0,0
1702378471858477,476414678,-1221401648,130506,10,10,2,-2,0,0,18305,15,0,0
